pipeline,axis,t_name,r_name,is_identity,k_train,n_train,p_hat_train,cp_lcb_train,accepted_train,k_hold,n_hold,p_hat_hold,cp_lcb_hold,accepted_hold,stable
f_ruleblind,rule_threshold,weaken_revenue_threshold,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,rule_threshold,weaken_revenue_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,weaken_revenue_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,weaken_revenue_threshold,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,strengthen_team_threshold,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,rule_threshold,strengthen_team_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,strengthen_team_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,strengthen_team_threshold,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,weaken_team_threshold,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,rule_threshold,weaken_team_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,weaken_team_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,weaken_team_threshold,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,strengthen_risk_threshold,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,rule_threshold,strengthen_risk_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,strengthen_risk_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,strengthen_risk_threshold,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,weaken_risk_threshold,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,rule_threshold,weaken_risk_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,weaken_risk_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_threshold,weaken_risk_threshold,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_clause,add_strict_clause,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,rule_clause,add_strict_clause,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_clause,add_strict_clause,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_clause,add_strict_clause,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_clause,remove_last_clause,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,rule_clause,remove_last_clause,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_clause,remove_last_clause,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,rule_clause,remove_last_clause,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_ruleblind,case_fact,case_revenue_up,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,case_fact,case_revenue_down,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,case_fact,case_team_plus,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,case_fact,case_team_minus,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,case_fact,case_risk_up,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_ruleblind,case_fact,case_risk_up,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
