seal_sha256,draw,pipeline,axis,t_name,is_identity,r_name,k,n_eff,n_raw,p_hat,cp_lcb,accepted,skipped_low_neff,in_signature
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,non_rule_fact,bump_founder_experience,0,R_up_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,non_rule_fact,bump_founder_experience,0,R_down_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,non_rule_fact,bump_founder_experience,0,R_sign_eq,300,300,300,1.0,0.9754,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_revenue_threshold,0,R_eq_omega,243,300,300,0.81,0.7274,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_revenue_threshold,0,R_up_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_revenue_threshold,0,R_down_omega,57,300,300,0.19,0.1229,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_revenue_threshold,0,R_sign_eq,271,300,300,0.9033,0.836,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_revenue_threshold,0,R_eq_omega,246,300,300,0.82,0.7386,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_revenue_threshold,0,R_up_omega,54,300,300,0.18,0.1147,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_revenue_threshold,0,R_down_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_revenue_threshold,0,R_sign_eq,274,300,300,0.9133,0.8484,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_team_threshold,0,R_eq_omega,219,300,300,0.73,0.6399,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_team_threshold,0,R_up_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_team_threshold,0,R_down_omega,81,300,300,0.27,0.1914,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_team_threshold,0,R_sign_eq,256,300,300,0.8533,0.7767,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_team_threshold,0,R_eq_omega,262,300,300,0.8733,0.8,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_team_threshold,0,R_up_omega,38,300,300,0.1267,0.0722,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_team_threshold,0,R_down_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_team_threshold,0,R_sign_eq,274,300,300,0.9133,0.8484,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_risk_threshold,0,R_eq_omega,230,300,300,0.7667,0.6795,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_risk_threshold,0,R_up_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_risk_threshold,0,R_down_omega,70,300,300,0.2333,0.1595,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,strengthen_risk_threshold,0,R_sign_eq,265,300,300,0.8833,0.8119,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_risk_threshold,0,R_eq_omega,206,300,300,0.6867,0.594,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_risk_threshold,0,R_up_omega,94,300,300,0.3133,0.23,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_risk_threshold,0,R_down_omega,0,300,300,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_track,rule_threshold,weaken_risk_threshold,0,R_sign_eq,259,300,300,0.8633,0.7883,0,0,0
