seal_sha256,probe_idx,probe_name,relation,expected_direction,pipeline,k,n_eff,p_hat,cp_lcb,cp_ucb,margin_from_theta,n_min_required,margin_condition_supported
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,6,case_risk_up,R_down,DOWN,f_wrongstochastic,317,600,0.528333,0.461704,0.594267,0.371667,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,7,permute_founders,R_eq,EQ,f_track,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,7,permute_founders,R_eq,EQ,f_ruleblind,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,7,permute_founders,R_eq,EQ,f_constant,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,7,permute_founders,R_eq,EQ,f_wrongstatic,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,7,permute_founders,R_eq,EQ,f_wrongstochastic,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,8,replace_description,R_eq,EQ,f_track,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,8,replace_description,R_eq,EQ,f_ruleblind,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,8,replace_description,R_eq,EQ,f_constant,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,8,replace_description,R_eq,EQ,f_wrongstatic,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,8,replace_description,R_eq,EQ,f_wrongstochastic,600,600,1.0,0.987779,1.0,0.1,577,1
